Time,Cyl[1].WP_Time,Cyl[2].WP_Time,Cyl[3].WP_Time,Cyl[4].WP_Time,Cyl[5].WP_Time,Cyl[6].WP_Time,Cyl[7].WP_Time,Cyl[8].WP_Time,Cyl[9].WP_Time,Cyl[10].WP_Time,Cyl[11].WP_Time,Cyl[12].WP_Time,Cyl[13].WP_Time,Cyl[14].WP_Time,Cyl[15].WP_Time,Cyl[16].WP_Time,Cyl[17].WP_Time,Cyl[18].WP_Time,Cyl[19].WP_Time,Cyl[20].WP_Time,Cyl[21].WP_Time,Cyl[22].WP_Time,Cyl[23].WP_Time,Cyl[24].WP_Time,Cyl[25].WP_Time,Cyl[26].WP_Time,Cyl[27].WP_Time,Cyl[28].WP_Time,Cyl[29].WP_Time,Cyl[30].WP_Time,Cyl[31].WP_Time,Cyl[32].WP_Time,Cyl[33].WP_Time,Cyl[34].WP_Time,Cyl[35].WP_Time,Cyl[36].WP_Time,Cyl[37].WP_Time,Cyl[38].WP_Time,Cyl[39].WP_Time,Cyl[40].WP_Time,Cyl[41].WP_Time,Cyl[42].WP_Time,Cyl[43].WP_Time,Cyl[44].WP_Time,Cyl[45].WP_Time,Cyl[46].WP_Time,Cyl[47].WP_Time,Cyl[48].WP_Time,Cyl[49].WP_Time,Cyl[50].WP_Time,Cyl[1].HP_Time,Cyl[2].HP_Time,Cyl[3].HP_Time,Cyl[4].HP_Time,Cyl[5].HP_Time,Cyl[6].HP_Time,Cyl[7].HP_Time,Cyl[8].HP_Time,Cyl[9].HP_Time,Cyl[10].HP_Time,Cyl[11].HP_Time,Cyl[12].HP_Time,Cyl[13].HP_Time,Cyl[14].HP_Time,Cyl[15].HP_Time,Cyl[16].HP_Time,Cyl[17].HP_Time,Cyl[18].HP_Time,Cyl[19].HP_Time,Cyl[20].HP_Time,Cyl[21].HP_Time,Cyl[22].HP_Time,Cyl[23].HP_Time,Cyl[24].HP_Time,Cyl[25].HP_Time,Cyl[26].HP_Time,Cyl[27].HP_Time,Cyl[28].HP_Time,Cyl[29].HP_Time,Cyl[30].HP_Time,Cyl[31].HP_Time,Cyl[32].HP_Time,Cyl[33].HP_Time,Cyl[34].HP_Time,Cyl[35].HP_Time,Cyl[36].HP_Time,Cyl[37].HP_Time,Cyl[38].HP_Time,Cyl[39].HP_Time,Cyl[40].HP_Time,Cyl[41].HP_Time,Cyl[42].HP_Time,Cyl[43].HP_Time,Cyl[44].HP_Time,Cyl[45].HP_Time,Cyl[46].HP_Time,Cyl[47].HP_Time,Cyl[48].HP_Time,Cyl[49].HP_Time,Cyl[50].HP_Time,Vac[1]_Time,Vac[2]_Time,Vac[3]_Time,Vac[4]_Time,Vac[5]_Time,Vac[6]_Time,Vac[7]_Time,Vac[8]_Time,Vac[9]_Time,Vac[10]_Time
00:50:08 851,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
01:50:08 787,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
02:50:08 706,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
03:50:08 635,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
04:50:08 646,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
05:50:08 562,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
06:50:08 490,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
07:50:08 468,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
08:50:08 453,0.6292699,0.9131396,0.61662,0.40478,0.18748,0.81219,0.18035,0.7141299,0.42283,0.23332,0.6896401,0.1395501,0.60921,,0.09706002,0.09813,0.66612,0.73358,0.13719,0.10750999,0.71191,1.59372,0.5917501,0.4102399,1.12133,0.6461199,0.135,0.123,0.43,0.308,0.408,0.43,,,,,,,,,,,,,,,,,,,1.14218,0.9134399,0.628,0.10827998,0.14599,0.92075,1.04952,0.6573102,0.1416301,0.14065,1.47548,0.286,0.9838999,,0.11807006,0.12121006,0.5596001,0.5255301,0.18364,0.1293699,0.31987,1.15415,0.7673199,0.3727801,0.8352099,0.9260501,0.17,0.108,0.526,0.364,0.25,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.32611,,0.6208199,,,
09:50:08 301,0.62886,0.9131998,0.6164601,0.40493,0.18791,0.81259,0.1805001,0.72139,0.4230601,0.2337901,0.6869401,0.13969,0.6097501,,0.09837999,0.09835999,0.66618,0.7335999,0.13694,0.10686001,0.7128599,0.53064,0.59182,0.41039,0.09962998,0.6464899,0.135,0.123,0.43,0.308,,,,,,,,,,,,,,,,,,,,,1.14169,0.9136101,0.628,0.10858999,0.14573,0.9178999,1.05027,0.65991,0.14156,0.1406,1.473,0.286,0.9827701,,0.12051,0.12224999,0.56009,0.52633,0.18373,0.12983,0.31992,1.12922,0.76551,0.37557,0.4312401,0.92461,0.17,0.108,0.526,0.364,0.25,0.338,0.6,0.316,1.15,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.30891,,0.6203699,,,
10:50:08 217,0.6291201,0.91232,0.6166702,0.4052699,0.18757,0.81433,0.18044,0.7241403,0.4236699,0.23464,0.6884,0.13931,0.60987,,0.09926997,0.09915995,0.66623,0.7332299,0.13685,0.10680001,0.6998601,0.3677001,0.59183,0.4103801,0.09941001,0.6458399,0.135,0.123,0.43,0.308,0,,,,,,,,,,,,,,,,,,,,1.1415,0.9123799,0.628,0.10850995,0.14551,0.9156699,1.04938,0.66149,0.1416801,0.14094,1.46282,0.286,0.9814399,,0.12066999,0.12252004,0.56072,0.52784,0.18348,0.1302299,0.3199999,0.8207,0.76438,0.37689,0.43021,0.9250099,0.17,0.108,0.526,0.364,0.25,0.338,0.6,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.30771,,0.62075,,,
11:50:08 161,0.6293501,0.91231,0.6166001,0.40538,0.18773,0.8146103,0.18027,0.7261101,0.4237899,0.23485,0.68851,0.1389901,0.6096,,0.09855995,0.09889995,0.66612,0.73278,0.13697,0.10676002,0.6932003,0.2896701,0.5919,0.4102399,0.09919997,0.6458999,0.135,0.123,0.43,0.308,0.,,,,,,,,,,,,,,,,,,,,1.14202,0.9120399,0.628,0.10868999,0.1452701,0.91311,1.05014,0.6621002,0.14166,0.1409101,1.46612,0.286,0.9812801,,0.11880005,0.12121001,0.5614,0.5280901,0.18368,0.13034,0.32012,0.16635,0.7648101,0.3761699,0.4291201,0.9246099,0.17,0.108,0.526,0.364,0.25,0.3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31932,,0.62081,,,
12:50:08 134,0.6292801,0.9123699,0.6165501,0.4054699,0.18781,0.8150701,0.18048,0.72861,0.4240599,0.23505,0.6862799,0.1384701,0.60973,,0.09847999,0.09902998,0.66624,0.7325399,0.13704,0.10685996,0.6846599,0.28966,0.5919701,0.41033,0.09883003,0.6460498,0.135,0.123,0.43,0.,,,,,,,,,,,,,,,,,,,,,1.14211,0.91191,0.628,0.10886999,0.1454201,0.9148698,1.05235,0.66266,0.1415801,0.14119,1.46878,0.286,0.981,,0.11791002,0.12089998,0.56159,0.5285601,0.18359,0.13036,0.32047,0.16614,0.7656504,0.37646,0.43219,0.9247999,0.17,0.108,0.526,0.364,0.25,0.338,0.6,0.,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3181,,0.6210601,,,
13:50:08 070,0.62914,0.9116298,0.61647,0.4056901,0.18755,0.8154999,0.1539,0.7294898,0.42397,0.2338501,0.6822599,0.1377401,0.60916,,0.0979,0.09870997,0.66617,0.73241,0.13712,0.10690995,0.67661,0.29009,0.5920501,0.4105399,0.09875999,0.6461601,0.135,0.123,0.43,0.308,0.408,,,,,,,,,,,,,,,,,,,,1.14252,0.9115499,0.628,0.10869,0.1457401,0.9159799,1.05509,0.6626799,0.1415601,0.14133,1.48078,0.286,0.9791601,,0.11834002,0.12179,0.5628501,0.52815,0.18357,0.13024,0.32045,0.16605,0.7653103,0.3741,0.4350999,0.9213101,0.17,0.108,0.526,0.364,0.25,0.338,0.6,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31851,,0.2855501,,,
14:50:07 993,0.62896,0.9121598,0.6165299,0.4061599,0.1875,0.81396,0.15397,0.7152604,0.4233301,0.2326301,0.6844298,0.1362801,0.6088602,,0.09772998,0.09894995,0.6660899,0.7321499,0.13714,0.10753998,0.6760099,0.2893701,0.5919,0.4104,0.09813003,0.6466899,0.135,0.123,0.43,0,,,,,,,,,,,,,,,,,,,,,1.14253,0.9124796,0.628,0.10835996,0.14533,0.9215101,1.05965,0.6564797,0.1414001,0.1414601,1.49873,0.286,0.9799699,,0.11760004,0.12156004,0.5617001,0.5266001,0.18316,0.12952,0.32016,0.16609,0.7652702,0.36659,0.42489,0.9220101,0.17,0.108,0.526,0.364,0.25,0.,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.32126,,0.2859701,,,
15:50:08 016,0.6293299,0.91204,0.6163701,0.4059,0.18714,0.81324,0.1542,0.7095501,0.4227101,0.23011,0.68474,0.13541,0.6086802,,0.09771001,0.09880999,0.6660899,0.7320901,0.1373,0.10742,0.67801,0.2893402,0.5918501,0.41065,0.09891,0.6468399,0.135,0.123,0.43,0.308,0.408,0.4,,,,,,,,,,,,,,,,,,,1.14213,0.91196,0.628,0.10878998,0.1453701,0.9257998,1.06364,0.65225,0.1413401,0.14126,1.49732,0.286,0.98062,,0.11805002,0.12081003,0.5610502,0.5263,0.18315,0.12962,0.3199801,0.16623,0.7655999,0.3644201,0.42392,0.9223101,0.17,0.108,0.526,0.364,0.25,0.338,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3101601,,0.2864901,,,
16:50:07 875,0.6292301,0.91203,0.61627,0.40598,0.18732,0.81232,0.18904,0.7071501,0.4222901,0.23014,0.6858502,0.13497,0.60865,,0.09660997,0.09848002,0.6663299,0.73261,0.13712,0.10733999,0.67935,0.2887702,0.5917,0.4103399,0.12359,0.6467098,0.135,0.123,0.43,0.308,0.408,0.,,,,,,,,,,,,,,,,,,,1.14224,0.91209,0.628,0.1088,0.14551,0.9289301,1.05626,0.64976,0.1413201,0.14121,1.49865,0.286,0.9815598,,0.11823,0.12133002,0.5606401,0.5260099,0.18349,0.12956,0.3200201,0.16648,0.7660999,0.36266,0.4957801,0.9230704,0.17,0.108,0.526,0.364,0.25,0.338,0.6,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.31183,,0.59346,,,
17:50:07 845,0.6292401,0.9122899,0.6162899,0.40598,0.18732,0.8124401,0.18901,0.70708,0.4223701,0.23014,0.6864501,0.13506,0.60865,,0.09660997,0.0984,0.66636,0.73262,0.13712,0.10733999,0.6794899,0.2887202,0.5918401,0.4103399,0.1326,0.6467098,0.135,0.123,0.43,0.308,0.408,,,,,,,,,,,,,,,,,,,,1.14234,0.91214,0.628,0.10881001,0.1456,0.9290801,1.05637,0.64968,0.1413201,0.14121,1.49865,0.286,0.9815598,,0.11825,0.12142002,0.56057,0.52616,0.18345,0.12956,0.3200201,0.16648,0.7660898,0.36303,0.4957801,0.9230704,0.17,0.108,0.526,0.364,0.25,0.338,0.6,0.,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.312,,0.59355,,,
18:50:07 851,0.62926,0.9114196,0.6157401,0.40542,0.1879,0.8119701,0.1889699,0.7099302,0.42273,0.2305801,0.6863101,0.13434,0.60886,,0.09589005,0.09764001,0.6666399,0.73243,0.13702,0.10752998,0.68239,0.28771,0.5917102,0.4103301,0.73691,0.64638,0.135,0.123,0.43,0.308,0.40,,,,,,,,,,,,,,,,,,,,1.14276,0.9116899,0.628,0.10877998,0.14561,0.9286197,1.05575,0.6502398,0.14152,0.14121,1.48411,0.286,0.98162,,0.11942001,0.12215003,0.56024,0.5274301,0.18355,0.12961,0.32028,0.16677,0.7677101,0.36559,0.8881297,0.9244201,0.17,0.108,0.526,0.364,0.25,0.338,0.,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.35382,,0.59352,,,
19:50:07 800,0.6295198,0.9107999,0.6152699,0.4051399,0.18723,0.8113997,0.18898,0.7156002,0.4229899,0.2305901,0.68277,0.13338,0.60862,,0.09554001,0.09761999,0.6669598,0.7318002,0.13663,0.10744998,0.6874001,0.28691,0.5920001,0.4106201,0.9917894,0.6461001,0.135,0.123,0.43,,,,,,,,,,,,,,,,,,,,,,1.14264,0.9123501,0.628,0.10915999,0.14532,0.9266703,1.05725,0.65204,0.1416,0.14128,1.4744,0.286,0.9814098,,0.11931003,0.12184001,0.5595102,0.5272899,0.18355,0.12932,0.32033,0.16655,0.7682999,0.36522,0.9917895,0.9240099,0.17,0.108,0.526,0.364,0.25,0.338,0.,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.8460199,,0.59296,,,
20:50:07 673,0.6295198,0.9107999,0.6152699,0.4051399,0.18723,0.8113997,0.18898,0.7156002,0.4229899,0.2305901,0.68277,0.13338,0.60862,,0.09554001,0.09761999,0.6669598,0.7318002,0.13663,0.10744998,0.6874001,0.28691,0.5920001,0.4106201,0.9917894,0.6461001,0.135,0.123,0.43,,,,,,,,,,,,,,,,,,,,,,1.14264,0.9123501,0.628,0.10915999,0.14532,0.9266703,1.05725,0.65204,0.1416,0.14128,1.4744,0.286,0.9814098,,0.11931003,0.12184001,0.5595102,0.5272899,0.18355,0.12932,0.32033,0.16655,0.7682999,0.36522,0.9917895,0.9240099,0.17,0.108,0.526,0.364,0.25,0.338,0.,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.8460199,,0.59296,,,
21:50:07 622,0.6295699,0.9107999,0.6152699,0.4051399,0.1869201,0.8113997,0.18898,0.7156002,0.4229899,0.2305601,0.68277,0.13338,0.60862,,0.09547001,0.09748998,0.6669598,0.7318002,0.13657,0.10742997,0.6879902,0.28683,0.5920102,0.4107301,1.05712,0.64614,0.135,0.123,0.43,0,,,,,,,,,,,,,,,,,,,,,1.14267,0.9123501,0.628,0.10915999,0.14533,0.9266703,1.05725,0.65204,0.1416,0.14129,1.4744,0.286,0.9814098,,0.11956003,0.12207001,0.5595102,0.5272899,0.18366,0.12942,0.32031,0.16657,0.76816,0.36575,0.9916494,0.9257299,0.17,0.108,0.526,0.364,0.25,0.338,0.6,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.8460199,,0.59296,,,
22:50:07 554,0.6295699,0.9107999,0.6152699,0.4051399,0.1869201,0.8113997,0.18898,0.7156002,0.4229899,0.2305601,0.68277,0.13338,0.60862,,0.09547001,0.09748998,0.6669598,0.7318002,0.13657,0.10742997,0.6879902,0.28683,0.5920102,0.4107301,1.05712,0.64614,0.135,0.123,0.43,0,,,,,,,,,,,,,,,,,,,,,1.14267,0.9123501,0.628,0.10915999,0.14533,0.9266703,1.05725,0.65204,0.1416,0.14129,1.4744,0.286,0.9814098,,0.11956003,0.12207001,0.5595102,0.5272899,0.18366,0.12942,0.32031,0.16657,0.76816,0.36575,0.9916494,0.9257299,0.17,0.108,0.526,0.364,0.25,0.338,0.6,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.8460199,,0.59296,,,
23:50:07 546,0.6295699,0.9107999,0.6152699,0.4051399,0.1869201,0.8113997,0.18898,0.7156002,0.4229899,0.2305601,0.68277,0.13338,0.60862,,0.09547001,0.09748998,0.6669598,0.7318002,0.13657,0.10742997,0.6879902,0.28683,0.5920102,0.4107301,1.05712,0.64614,0.135,0.123,0.43,0,,,,,,,,,,,,,,,,,,,,,1.14267,0.9123501,0.628,0.10915999,0.14533,0.9266703,1.05725,0.65204,0.1416,0.14129,1.4744,0.286,0.9814098,,0.11956003,0.12207001,0.5595102,0.5272899,0.18366,0.12942,0.32031,0.16657,0.76816,0.36575,0.9916494,0.9257299,0.17,0.108,0.526,0.364,0.25,0.338,0.6,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.8460199,,0.59296,,,
